0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,30.83,0.0,2.0,1.0,13.0,8.0,1.25,1,1,1,0,0,00202,0,1
1,58.67,4.46,2.0,1.0,11.0,4.0,3.04,1,1,6,0,0,00043,560,1
1,24.50,0.5,2.0,1.0,11.0,4.0,1.5,1,0,0,0,0,00280,824,1
0,27.83,1.54,2.0,1.0,13.0,8.0,3.75,1,1,5,1,0,00100,3,1
0,20.17,5.625,2.0,1.0,13.0,8.0,1.71,1,0,0,0,0,00120,0,1
0,32.08,4.0,2.0,1.0,10.0,8.0,2.5,1,0,0,1,0,00360,0,1
0,33.17,1.04,2.0,1.0,12.0,4.0,6.5,1,0,0,1,0,00164,31285,1
1,22.92,11.585,2.0,1.0,3.0,8.0,0.04,1,0,0,0,0,00080,1349,1
0,54.42,0.5,3.0,3.0,9.0,4.0,3.96,1,0,0,0,0,00180,314,1
0,42.50,4.915,3.0,3.0,13.0,8.0,3.165,1,0,0,1,0,00052,1442,1
0,22.08,0.83,2.0,1.0,2.0,4.0,2.165,0,0,0,1,0,00128,0,1
0,29.92,1.835,2.0,1.0,2.0,4.0,4.335,1,0,0,0,0,00260,200,1
1,38.25,6.0,2.0,1.0,9.0,8.0,1.0,1,0,0,1,0,00000,0,1
0,48.08,6.04,2.0,1.0,9.0,8.0,0.04,0,0,0,0,0,00000,2690,1
1,45.83,10.5,2.0,1.0,11.0,8.0,5.0,1,1,7,1,0,00000,0,1
0,36.67,4.415,3.0,3.0,9.0,8.0,0.25,1,1,10,1,0,00320,0,1
0,28.25,0.875,2.0,1.0,10.0,8.0,0.96,1,1,3,1,0,00396,0,1
1,23.25,5.875,2.0,1.0,11.0,8.0,3.17,1,1,10,0,0,00120,245,1
0,21.83,0.25,2.0,1.0,4.0,4.0,0.665,1,0,0,1,0,00000,0,1
1,19.17,8.585,2.0,1.0,3.0,4.0,0.75,1,1,7,0,0,00096,0,1
0,25.00,11.25,2.0,1.0,2.0,8.0,2.5,1,1,17,0,0,00200,1208,1
0,23.25,1.0,2.0,1.0,2.0,8.0,0.835,1,0,0,0,0,00300,0,1
1,47.75,8.0,2.0,1.0,2.0,8.0,7.875,1,1,6,1,0,00000,1260,1
